Name;Grundpreis;Miete;1. Haus;2. Haus;3. Haus;4. Haus;Hotel;Preis p. Haus;Kaution;Gruppe
Gulltown;60;2;10;30;90;160;250;50;30;1
The Eyrie;60;4;20;60;180;320;450;50;30;1
The Kingsroad;200;25;50;100;200;;;;100;9
White Harbor;100;6;30;90;270;400;550;50;50;2
Winterfell;100;6;30;90;270;400;550;50;50;2
Castle Black;120;8;40;100;300;450;600;50;60;2
Dusken Dale;140;10;50;150;450;625;750;100;70;3
Raiders Attack;150;4;10;;;;;;75;10
Sunspear;140;10;50;150;450;625;750;100;70;3
Storms End;160;12;60;180;500;700;900;100;80;3
Shipbreaker Bay;200;25;50;100;200;;;;100;9
Prince's Path;180;14;70;200;550;750;950;100;90;4
Pyke;180;14;70;200;550;750;950;100;90;4
River Rune;200;16;80;220;600;800;1000;100;100;4
The Arbor;220;18;90;250;700;875;1050;150;110;5
Highgarden;220;18;90;250;700;875;1050;150;110;5
Old Town;240;20;100;300;750;925;1100;150;120;5
Dornish Marches;200;25;50;100;200; ;;;100;9
The Dreadfort;260;22;110;330;800;975;1150;150;130;6
The Fingers;260;22;110;330;800;975;1150;150;130;6
The Drowned God;150;4;10;;;;;;75;10
Harrenhal;280;22;120;360;850;1025;1200;150;140;6
Blackwater;300;26;130;390;900;1100;1275;200;150;7
Lannisport;300;26;130;390;900;1100;1275;200;150;7
Casterly Rock;320;28;150;450;1000;1200;1400;200;160;7
The Narrow Sea;200;25;50;100;200;;;;100;9
Dragonstone;350;35;175;500;1100;1300;1500;200;175;8
King's Landing;400;50;200;600;1400;1700;2000;200;200;8
